source_id,destination_id,units_shipped,total_cost
S6e0cec4,D0f6eec2,11985,1332.62
S6e0cec4,Df4d06c4,15077,2904.12
S6e0cec4,D4364665,12088,509.42
S6e0cec4,Df4d06c4,18357,3535.91
S6e0cec4,D4cf8ef3,18738,6673.15
S6e0cec4,D9661ca9,14685,5085.9
S6e0cec4,Df4d06c4,16140,365.07
S6e0cec4,D4cf8ef3,13004,339.78
S6e0cec4,Df4d06c4,17994,586.95
S6e0cec4,D9661ca9,15198,2223.97
S6e0cec4,Df4d06c4,17540,2150.74
S6e0cec4,D4cf8ef3,16193,1232.76
S6e0cec4,Df4d06c4,11045,802.08
S6e0cec4,D0f6eec2,16943,1375.61
S6e0cec4,D9661ca9,19674,3075.7
S6e0cec4,D7cefff4,13493,14279.54
S6e0cec4,D9661ca9,16112,424.28
S6e0cec4,Df4d06c4,14783,777.87
S6e0cec4,D7cefff4,10636,2959.92
S6e0cec4,D9661ca9,13041,604.23
S6e0cec4,D7cefff4,15625,2317.07
S6e0cec4,Df4d06c4,11645,263.4
S6e0cec4,D0f6eec2,10161,723.37
S6e0cec4,Df4d06c4,10349,130.59
S6e0cec4,D4cf8ef3,17797,109.08
S6e0cec4,D4364665,16534,200.77
S6e0cec4,D4cf8ef3,18474,1406.41
S6e0cec4,D4364665,14440,3496.54
S6e0cec4,D9661ca9,12541,2085.99
S6e0cec4,D0f6eec2,16665,853.09
S6e0cec4,Df4d06c4,14907,933.46
S6e0cec4,D4364665,12947,1710.85
S6e0cec4,D4364665,17340,730.76
S6e0cec4,D4364665,15243,2166.68
S6e0cec4,D4364665,11904,144.55
S6e0cec4,D0f6eec2,18772,210.07
S6e0cec4,D0f6eec2,18964,1918.98
S6e0cec4,D0f6eec2,18767,3400.4
S6e0cec4,D9661ca9,19160,2037.35
S6e0cec4,Df4d06c4,10263,129.51
S6e0cec4,D4cf8ef3,12790,3787.49
S6e0cec4,D9661ca9,19801,5867.7
S6e0cec4,D0f6eec2,17718,375.45
S6e0cec4,D0f6eec2,12065,255.66
S6e0cec4,D9661ca9,10099,1881.78
S6e0cec4,Df4d06c4,19587,1618.26
S6e0cec4,D7cefff4,11004,3502.49
S6e0cec4,D4364665,18705,1910.58
S6e0cec4,D4364665,10911,678.04
S6e0cec4,D4364665,11955,2655.72
S6e0cec4,D4364665,19646,42.1
S6e0cec4,D7cefff4,11592,96.13
S6e0cec4,D0f6eec2,19912,621.06
S6e0cec4,D0f6eec2,12732,4598.68
S6e0cec4,D0f6eec2,18398,1677.72
S6e0cec4,D7cefff4,13986,-23.88
S6e0cec4,D9661ca9,13027,2427.36
S6e0cec4,D9661ca9,10726,1891.35
S6e0cec4,D7cefff4,18695,3520.13
S6e0cec4,D0f6eec2,13983,575.97
S6e0cec4,Df4d06c4,12030,151.81
S6e0cec4,D0f6eec2,13273,1343.1
S6e0cec4,D9661ca9,18538,3454.25
S6e0cec4,D7cefff4,17358,317.52
S6e0cec4,D0f6eec2,10704,654.98
S6e0cec4,D4364665,12479,276.32
S6e0cec4,D4cf8ef3,13310,1412.58
S6e0cec4,D7cefff4,16648,471.02
S6e0cec4,D7cefff4,18250,9458.84
S6e0cec4,D7cefff4,18464,-216.16
S6e0cec4,D0f6eec2,14733,2522.15
S6e0cec4,D9661ca9,15710,256.6
S6e0cec4,Df4d06c4,15624,2697.0
S6e0cec4,Df4d06c4,15134,645.0
S6e0cec4,Df4d06c4,12903,2098.27
S6e0cec4,D4364665,19324,234.65
S6e0cec4,D0f6eec2,13007,2096.6
S6e0cec4,D0f6eec2,19580,1002.31
S6e0cec4,D4cf8ef3,19764,2097.53
S6e0cec4,D7cefff4,16032,613.91
S6e0cec4,D9661ca9,14223,659.0
S6e0cec4,Df4d06c4,11830,622.48
S6e0cec4,D7cefff4,13029,889.79
S6e0cec4,D7cefff4,16548,-28.25
S6e0cec4,D4cf8ef3,17801,465.12
S6e0cec4,Df4d06c4,10611,240.01
S6e0cec4,Df4d06c4,14395,2196.95
S6e0cec4,D7cefff4,12344,472.68
S6e0cec4,D7cefff4,11944,5712.73
S6e0cec4,D7cefff4,12595,230.4
S6e0cec4,Df4d06c4,18990,1189.14
S6e0cec4,D4cf8ef3,14405,2249.04
S6e0cec4,D7cefff4,18535,2748.6
S6e0cec4,D0f6eec2,19936,821.17
S6e0cec4,Df4d06c4,13803,1278.42
S6e0cec4,D0f6eec2,13755,841.68
S6e0cec4,D7cefff4,16549,8080.76
S6e0cec4,D4364665,17963,577.38
S6e0cec4,D4364665,15969,1790.81
S6e0cec4,Df4d06c4,11656,846.45
S6e0cec4,Df4d06c4,11872,31.09
S6e0cec4,D4cf8ef3,16604,1596.13
S6e0cec4,Df4d06c4,17924,3273.26
S6e0cec4,D4364665,11244,1373.37
S6e0cec4,D4364665,15926,6404.53
S6e0cec4,D0f6eec2,10060,1319.78
S6e0cec4,D4364665,19531,823.09
S6e0cec4,D7cefff4,15417,1977.89
S6e0cec4,D9661ca9,11935,1627.14
S6e0cec4,D7cefff4,12733,2015.54
S6e0cec4,D0f6eec2,17765,554.1
S6e0cec4,D9661ca9,10916,-40.03
S6e0cec4,Df4d06c4,18711,423.22
S6e0cec4,Df4d06c4,10804,28.3
S6e0cec4,Df4d06c4,18838,614.48
S6e0cec4,D4cf8ef3,10522,1853.23
S6e0cec4,D4364665,13598,1388.94
S6e0cec4,D0f6eec2,14557,308.47
S6e0cec4,D4cf8ef3,15372,1170.26
S6e0cec4,D0f6eec2,14821,314.06
S6e0cec4,D4364665,12688,154.07
S6e0cec4,Df4d06c4,16708,377.92
S6e0cec4,D4364665,15088,183.21
S6e0cec4,D4364665,16565,2851.55
S6e0cec4,D4364665,16220,3927.56
S6e0cec4,D7cefff4,14139,2520.88
S6e0cec4,D4364665,16281,34.89
S6e0cec4,D4364665,19659,1221.67
S6e0cec4,Df4d06c4,10467,864.77
S6e0cec4,D0f6eec2,14687,1045.57
S6e0cec4,D0f6eec2,14346,590.92
S6e0cec4,D7cefff4,12745,7625.24
S6e0cec4,D4364665,14773,1213.5
S6e0cec4,D0f6eec2,19633,1005.02
S6e0cec4,D0f6eec2,11668,1647.41
S6e0cec4,D0f6eec2,13174,4099.62
S6e0cec4,D0f6eec2,16618,850.68
S6e0cec4,D4cf8ef3,17607,3629.31
S6e0cec4,D9661ca9,15234,3904.98
S6e0cec4,D4cf8ef3,18784,5938.17
S6e0cec4,D4364665,10699,1841.76
S6e0cec4,D7cefff4,18186,-31.05
S6e0cec4,Df4d06c4,10134,1242.62
S6e0cec4,D9661ca9,19055,-69.87
S6e0cec4,D7cefff4,10556,1459.82
S6e0cec4,D9661ca9,14991,94.94
S6e0cec4,D4364665,16850,204.61
S6e0cec4,D7cefff4,19402,742.95
S6e0cec4,Df4d06c4,11758,148.37
S6e0cec4,D0f6eec2,18642,954.29
S6e0cec4,D7cefff4,15928,-27.19
S6e0cec4,Df4d06c4,15756,3034.91
S6e0cec4,Df4d06c4,19679,4577.71
S6e0cec4,Df4d06c4,18048,588.71
S6e0cec4,D4cf8ef3,11068,399.88
S6e0cec4,D4cf8ef3,17978,289.97
S6e0cec4,D4cf8ef3,10574,3871.45
S6e0cec4,Df4d06c4,10138,432.07
S6e0cec4,D7cefff4,19138,-224.05
S6e0cec4,D4364665,19727,42.27
S6e0cec4,D9661ca9,17988,3171.88
S6e0cec4,D4364665,12179,269.68
S6e0cec4,Df4d06c4,17947,3995.34
S6e0cec4,D4364665,18670,40.01
S6e0cec4,D0f6eec2,15194,777.79
S6e0cec4,D0f6eec2,17138,1048.68
S6e0cec4,D7cefff4,18233,1609.84
S6e0cec4,D9661ca9,15180,855.14
S6e0cec4,D7cefff4,18934,11138.73
S6e0cec4,D4cf8ef3,13230,2727.09
S6e0cec4,D0f6eec2,15210,1387.01
S6e0cec4,D9661ca9,10096,1073.54
S6e0cec4,D7cefff4,12900,-409.02
S6e0cec4,D7cefff4,17384,7966.96
S6e0cec4,D0f6eec2,15657,3150.04
S6e0cec4,D4364665,19619,2003.94
S6e0cec4,D7cefff4,15930,-345.8
S6e0cec4,D0f6eec2,17057,702.59
S6e0cec4,Df4d06c4,16023,362.42
S6e0cec4,D0f6eec2,12919,144.57
S6e0cec4,D0f6eec2,15825,6665.34
S6e0cec4,D7cefff4,19627,1340.38
S6e0cec4,Df4d06c4,16182,366.02
S6e0cec4,D9661ca9,13854,3551.24
S6e0cec4,D4364665,18160,402.11
S6e0cec4,D9661ca9,11425,2700.11
S6e0cec4,D4364665,18799,1732.19
S6e0cec4,D4cf8ef3,12393,7387.83
S6e0cec4,D4364665,16520,2017.8
S6e0cec4,D7cefff4,14185,2245.38
S6e0cec4,D4cf8ef3,17836,287.68
S6e0cec4,D4cf8ef3,16632,1931.46
S6e0cec4,D7cefff4,15327,3192.5
S6e0cec4,D9661ca9,15905,418.83
S6e0cec4,D4cf8ef3,10503,3530.36
S6e0cec4,D4364665,16937,375.03
S6e0cec4,D7cefff4,11911,3672.07
S6e0cec4,D9661ca9,13196,2458.85
S6e0cec4,D4364665,12122,2935.26
S6e0cec4,D4364665,15773,1611.1
S6e0cec4,D7cefff4,17416,-29.73
S6e0cec4,D0f6eec2,16821,1702.12
S6e0cec4,D4cf8ef3,10237,369.85
S6e0cec4,D9661ca9,11394,72.16
S6e0cec4,D4cf8ef3,10947,723.91
S6e0cec4,D4364665,15597,2996.85
S6e0cec4,D4cf8ef3,15973,577.09
S6e0cec4,D4364665,11320,703.46
S6e0cec4,Df4d06c4,12942,681.0
S6e0cec4,D4cf8ef3,14745,5251.12
S6e0cec4,Df4d06c4,16798,2227.73
S6e0cec4,D4cf8ef3,11861,1377.41
S6e0cec4,Df4d06c4,13313,1499.3
S6e0cec4,Df4d06c4,12542,1036.21
S6e0cec4,D7cefff4,11395,3626.95
S6e0cec4,D4cf8ef3,18749,1239.85
S6e0cec4,D4364665,14379,1181.13
S6e0cec4,D4cf8ef3,17713,12153.4
S6e0cec4,D0f6eec2,16538,681.21
S6e0cec4,D7cefff4,16357,1444.2
S6e0cec4,D4364665,12436,1021.53
S6e0cec4,D9661ca9,19946,5112.82
S6e0cec4,D9661ca9,18695,1427.05
S6e0cec4,D0f6eec2,14368,4327.5
S6e0cec4,D7cefff4,19314,1898.42
S6e0cec4,D0f6eec2,12909,1693.54
S6e0cec4,D4cf8ef3,17320,2011.35
S6e0cec4,D9661ca9,14874,540.42
