source_id,destination_id,units_shipped,total_cost
S98e66d8,D7cefff4,12959,2688.99
S98e66d8,D0f6eec2,13407,1290.42
S98e66d8,D4364665,12920,233.79
S98e66d8,D4cf8ef3,13699,5086.9
S98e66d8,D4364665,17468,1538.85
S98e66d8,D9661ca9,12056,256.58
S98e66d8,D4364665,10268,1007.24
S98e66d8,D4364665,17554,493.18
S98e66d8,Df4d06c4,15814,925.7
S98e66d8,Df4d06c4,16841,1827.86
S98e66d8,D9661ca9,18299,755.42
S98e66d8,D4364665,18019,866.63
S98e66d8,D4364665,10820,-20.61
S98e66d8,D9661ca9,19464,998.15
S98e66d8,Df4d06c4,14063,260.68
S98e66d8,D7cefff4,13116,1016.49
S98e66d8,D9661ca9,18750,1711.54
S98e66d8,Df4d06c4,14849,2057.13
S98e66d8,D9661ca9,13829,1124.05
S98e66d8,D4364665,18373,332.46
S98e66d8,D9661ca9,15338,1246.7
S98e66d8,D0f6eec2,16325,918.28
S98e66d8,Df4d06c4,18789,-27.5
S98e66d8,D7cefff4,12929,-161.61
S98e66d8,D0f6eec2,14534,236.18
S98e66d8,D7cefff4,17053,980.55
S98e66d8,D4364665,11520,438.86
S98e66d8,D4cf8ef3,19351,8346.73
S98e66d8,Df4d06c4,19218,-28.12
S98e66d8,D9661ca9,13246,3328.48
S98e66d8,Df4d06c4,15408,1056.01
S98e66d8,D7cefff4,15514,4615.42
S98e66d8,D4364665,11997,217.09
S98e66d8,D0f6eec2,16336,3042.58
S98e66d8,Df4d06c4,12856,366.87
S98e66d8,D7cefff4,13825,1762.69
S98e66d8,D4cf8ef3,18246,-1252.89
S98e66d8,Df4d06c4,13654,1618.5
S98e66d8,D7cefff4,11230,84.22
S98e66d8,D0f6eec2,18681,1050.81
S98e66d8,D4cf8ef3,14987,6314.52
S98e66d8,D7cefff4,10326,2658.94
S98e66d8,D4364665,13557,1465.45
S98e66d8,D4364665,18157,-34.58
S98e66d8,D0f6eec2,19751,7628.82
S98e66d8,Df4d06c4,13210,376.97
S98e66d8,D4364665,17086,3213.8
S98e66d8,D4364665,12685,736.94
S98e66d8,D9661ca9,19930,1022.05
S98e66d8,D4cf8ef3,12761,6397.51
S98e66d8,D4cf8ef3,16650,188.7
S98e66d8,D0f6eec2,15715,4341.27
S98e66d8,D0f6eec2,12771,718.37
S98e66d8,D7cefff4,16645,2122.24
S98e66d8,D4cf8ef3,11148,795.22
S98e66d8,D4364665,17873,1574.53
S98e66d8,Df4d06c4,12199,1446.03
S98e66d8,D0f6eec2,15305,1013.96
S98e66d8,D9661ca9,15837,812.15
S98e66d8,D4cf8ef3,19391,3322.32
S98e66d8,D9661ca9,13774,155.4
S98e66d8,Df4d06c4,19832,-29.02
S98e66d8,D4cf8ef3,18140,2019.59
S98e66d8,D9661ca9,14750,1641.41
S98e66d8,Df4d06c4,14975,127.84
S98e66d8,Df4d06c4,13753,1355.17
S98e66d8,D9661ca9,17922,22.98
S98e66d8,D7cefff4,15000,-337.5
S98e66d8,D4364665,15597,126.26
S98e66d8,D7cefff4,15519,1202.72
S98e66d8,D9661ca9,18147,3471.2
S98e66d8,D4364665,17873,323.42
S98e66d8,D0f6eec2,14768,535.34
S98e66d8,D9661ca9,18387,942.92
S98e66d8,Df4d06c4,13814,-20.22
S98e66d8,Df4d06c4,15117,129.05
S98e66d8,D4364665,12150,341.36
S98e66d8,D0f6eec2,18168,2838.75
S98e66d8,D0f6eec2,17170,3541.31
S98e66d8,D7cefff4,19020,1474.05
S98e66d8,D4364665,12854,232.6
S98e66d8,D9661ca9,18625,2258.88
S98e66d8,Df4d06c4,16439,140.33
S98e66d8,D0f6eec2,18230,5947.54
S98e66d8,Df4d06c4,19272,935.4
S98e66d8,D0f6eec2,19964,324.41
S98e66d8,D9661ca9,19569,220.78
S98e66d8,D7cefff4,18858,4667.36
S98e66d8,D7cefff4,11831,207.04
S98e66d8,D4364665,10421,188.57
S98e66d8,D4364665,18885,152.88
S98e66d8,D7cefff4,15253,6673.19
S98e66d8,D4cf8ef3,19055,-1498.99
S98e66d8,D9661ca9,11781,250.72
S98e66d8,Df4d06c4,10025,85.58
S98e66d8,D9661ca9,11923,849.9
S98e66d8,Df4d06c4,10222,1211.68
S98e66d8,D9661ca9,13866,988.4
S98e66d8,D0f6eec2,14495,960.29
S98e66d8,D7cefff4,15230,3769.42
S98e66d8,D4364665,15380,2123.9
S98e66d8,Df4d06c4,14476,702.62
S98e66d8,Df4d06c4,19685,-28.81
S98e66d8,D4cf8ef3,13227,-1040.52
S98e66d8,D9661ca9,17772,733.66
S98e66d8,D4cf8ef3,14498,-1140.51
S98e66d8,D9661ca9,10736,765.28
S98e66d8,D4cf8ef3,15431,2026.6
S98e66d8,D0f6eec2,11025,509.91
S98e66d8,D4cf8ef3,17536,-151.98
S98e66d8,D7cefff4,12318,6497.75
S98e66d8,D4364665,16175,777.94
S98e66d8,D9661ca9,14445,307.42
S98e66d8,D4364665,11215,539.39
S98e66d8,D7cefff4,19577,3279.15
S98e66d8,D7cefff4,15441,2895.19
S98e66d8,Df4d06c4,14030,2364.57
S98e66d8,D9661ca9,18193,1114.9
S98e66d8,D4cf8ef3,15921,-934.03
S98e66d8,Df4d06c4,17811,152.05
S98e66d8,D4364665,19377,350.63
S98e66d8,D7cefff4,12096,-30.24
S98e66d8,D4364665,17696,320.21
S98e66d8,D0f6eec2,11777,309.15
S98e66d8,D0f6eec2,18197,5754.8
S98e66d8,D7cefff4,19876,347.83
S98e66d8,D9661ca9,15317,632.32
S98e66d8,D4364665,19107,1110.03
S98e66d8,D0f6eec2,12934,727.54
S98e66d8,D4cf8ef3,16436,1336.79
S98e66d8,Df4d06c4,18760,722.95
S98e66d8,Df4d06c4,18672,2960.2
S98e66d8,D7cefff4,10291,180.09
S98e66d8,D7cefff4,17440,2223.6
S98e66d8,D4364665,12434,-23.68
S98e66d8,D7cefff4,15754,-354.46
S98e66d8,D9661ca9,13784,431.19
S98e66d8,D4cf8ef3,13679,-1349.66
S98e66d8,D0f6eec2,19196,5494.86
S98e66d8,D4364665,15482,280.15
S98e66d8,Df4d06c4,11137,429.18
S98e66d8,D9661ca9,16378,184.78
S98e66d8,D4cf8ef3,12037,-706.17
S98e66d8,D4364665,16753,303.15
S98e66d8,D4cf8ef3,15251,-1199.75
S98e66d8,Df4d06c4,14977,-21.92
S98e66d8,D9661ca9,10326,942.58
S98e66d8,D4364665,17998,1045.6
S98e66d8,D7cefff4,11040,1186.8
S98e66d8,D0f6eec2,17759,998.94
S98e66d8,Df4d06c4,17201,146.84
S98e66d8,D0f6eec2,18058,1918.66
S98e66d8,Df4d06c4,15444,904.04
S98e66d8,D9661ca9,13181,939.57
S98e66d8,D0f6eec2,13867,918.69
S98e66d8,D4364665,18811,-35.83
S98e66d8,D9661ca9,14758,1494.72
S98e66d8,Df4d06c4,13057,372.6
S98e66d8,D9661ca9,10942,232.87
S98e66d8,D4364665,19659,1731.86
S98e66d8,D9661ca9,18417,2601.99
S98e66d8,D4364665,12264,1325.68
S98e66d8,D9661ca9,18307,389.61
S98e66d8,D7cefff4,15526,1979.56
S98e66d8,D0f6eec2,11713,893.12
S98e66d8,D0f6eec2,19824,2899.26
S98e66d8,Df4d06c4,16303,1117.35
S98e66d8,D9661ca9,13093,147.72
S98e66d8,Df4d06c4,12299,842.93
S98e66d8,D4cf8ef3,14726,2228.53
S98e66d8,D7cefff4,16124,1572.09
S98e66d8,Df4d06c4,13029,241.51
S98e66d8,D0f6eec2,13149,476.65
S98e66d8,D4cf8ef3,12555,2151.09
S98e66d8,D9661ca9,14918,168.31
S98e66d8,D4cf8ef3,11600,-1144.53
S98e66d8,D4cf8ef3,14403,1171.44
S98e66d8,D9661ca9,12323,385.49
S98e66d8,D4cf8ef3,13796,4984.95
S98e66d8,D4364665,19972,161.68
S98e66d8,D9661ca9,11038,234.91
S98e66d8,Df4d06c4,15498,752.22
S98e66d8,D7cefff4,14103,105.77
S98e66d8,D7cefff4,14283,2963.72
