source_id,destination_id,units_shipped,total_cost
Sff2d315,D4364665,12387,1012.11
Sff2d315,D4cf8ef3,12533,976.05
Sff2d315,D0f6eec2,15651,141.24
Sff2d315,D0f6eec2,19915,378.87
Sff2d315,D0f6eec2,18265,164.83
Sff2d315,Df4d06c4,19769,2378.46
Sff2d315,D4364665,12619,778.68
Sff2d315,D4364665,19274,3694.97
Sff2d315,Df4d06c4,10384,2287.72
Sff2d315,D4364665,12248,755.79
Sff2d315,D7cefff4,18879,572.09
Sff2d315,D9661ca9,14716,1402.93
Sff2d315,D9661ca9,16577,917.26
Sff2d315,Df4d06c4,10195,2144.14
Sff2d315,Df4d06c4,12464,377.82
Sff2d315,D4cf8ef3,17366,136.82
Sff2d315,D7cefff4,17046,5630.35
Sff2d315,D0f6eec2,12316,726.94
Sff2d315,Df4d06c4,14066,2254.96
Sff2d315,D4364665,12508,521.68
Sff2d315,Df4d06c4,12268,2334.75
Sff2d315,D4cf8ef3,16705,131.62
Sff2d315,D7cefff4,10663,749.64
Sff2d315,D4364665,14414,24.61
Sff2d315,D4cf8ef3,16253,2891.06
Sff2d315,D0f6eec2,11597,568.54
Sff2d315,D7cefff4,14526,3490.64
Sff2d315,D4cf8ef3,17497,-37.11
Sff2d315,D9661ca9,14953,1126.46
Sff2d315,D7cefff4,11184,2128.35
Sff2d315,D7cefff4,17415,3139.98
Sff2d315,D7cefff4,12009,724.18
Sff2d315,D9661ca9,15629,552.22
Sff2d315,D9661ca9,13687,757.35
Sff2d315,Df4d06c4,15322,4601.39
Sff2d315,D4364665,10173,-84.36
Sff2d315,D7cefff4,17203,5510.17
Sff2d315,D4cf8ef3,16314,617.95
Sff2d315,D0f6eec2,17126,325.81
Sff2d315,Df4d06c4,15173,763.39
Sff2d315,Df4d06c4,12977,1301.76
Sff2d315,D9661ca9,15767,714.77
Sff2d315,D9661ca9,19770,3070.94
Sff2d315,D0f6eec2,10828,206.0
Sff2d315,D7cefff4,10873,3591.38
Sff2d315,D0f6eec2,12761,115.16
Sff2d315,Df4d06c4,16054,7068.78
Sff2d315,D4cf8ef3,18739,147.64
Sff2d315,D0f6eec2,18469,351.36
Sff2d315,D7cefff4,12998,783.82
Sff2d315,D4cf8ef3,13292,503.48
Sff2d315,D4cf8ef3,10224,489.51
Sff2d315,D4364665,11623,484.76
Sff2d315,D9661ca9,12372,1055.74
Sff2d315,D4364665,16560,28.27
Sff2d315,D7cefff4,14796,1632.04
Sff2d315,D7cefff4,19376,1555.95
Sff2d315,D4cf8ef3,13418,374.08
Sff2d315,D0f6eec2,10022,290.88
Sff2d315,D0f6eec2,10691,2555.41
Sff2d315,D4364665,17179,2262.6
Sff2d315,D9661ca9,12510,1067.52
Sff2d315,D7cefff4,16837,1183.69
Sff2d315,D0f6eec2,12762,880.89
Sff2d315,D0f6eec2,17031,1856.79
Sff2d315,D7cefff4,16078,487.21
Sff2d315,D4cf8ef3,14141,1384.1
Sff2d315,D0f6eec2,18600,353.85
Sff2d315,D0f6eec2,17493,857.58
Sff2d315,D4364665,15039,1078.41
Sff2d315,D4364665,15171,784.45
Sff2d315,D9661ca9,16245,736.44
Sff2d315,D4364665,15346,179.66
Sff2d315,D0f6eec2,11563,566.87
Sff2d315,D4364665,16560,3174.67
Sff2d315,D0f6eec2,16028,2869.4
Sff2d315,Df4d06c4,12704,2798.85
Sff2d315,D9661ca9,14632,1102.28
Sff2d315,D7cefff4,13494,1623.37
Sff2d315,D7cefff4,11576,698.07
Sff2d315,D0f6eec2,17936,161.86
Sff2d315,D4cf8ef3,17649,2080.44
Sff2d315,Df4d06c4,17280,12101.4
Sff2d315,D9661ca9,19826,304.0
Sff2d315,D4cf8ef3,14337,829.81
Sff2d315,D4364665,19749,626.19
Sff2d315,D0f6eec2,11757,811.52
Sff2d315,Df4d06c4,15472,314.28
Sff2d315,D0f6eec2,16259,634.5
Sff2d315,D7cefff4,17634,3355.8
Sff2d315,D9661ca9,18903,478.88
Sff2d315,D4364665,16972,2065.62
Sff2d315,D4364665,14003,23.91
Sff2d315,D4364665,19962,2629.14
Sff2d315,D4cf8ef3,15605,279.0
Sff2d315,Df4d06c4,19040,8383.55
Sff2d315,D4364665,16633,3355.0
Sff2d315,D7cefff4,12392,375.52
Sff2d315,Df4d06c4,13452,1080.36
Sff2d315,D7cefff4,14823,2376.17
Sff2d315,D0f6eec2,11829,225.04
Sff2d315,Df4d06c4,11741,708.13
Sff2d315,D9661ca9,13304,1135.27
Sff2d315,D9661ca9,17329,1478.74
Sff2d315,D0f6eec2,19083,363.04
Sff2d315,D4364665,19209,993.25
Sff2d315,D7cefff4,12123,973.51
Sff2d315,D4cf8ef3,17722,139.63
Sff2d315,D4cf8ef3,14023,671.4
Sff2d315,D4364665,10641,6828.41
Sff2d315,D9661ca9,10123,357.68
Sff2d315,D4364665,19824,4989.85
Sff2d315,D4364665,15587,1741.18
Sff2d315,D4364665,17809,-147.68
Sff2d315,D9661ca9,14478,3986.28
Sff2d315,D0f6eec2,12622,618.79
Sff2d315,D7cefff4,11050,1329.35
Sff2d315,D4364665,14035,2269.56
Sff2d315,D7cefff4,11019,1215.43
Sff2d315,D0f6eec2,12551,615.31
Sff2d315,D9661ca9,19198,870.31
Sff2d315,D9661ca9,18272,280.17
Sff2d315,Df4d06c4,19997,1406.04
Sff2d315,D0f6eec2,17238,327.94
Sff2d315,D4364665,11064,129.53
Sff2d315,D4cf8ef3,12006,574.83
Sff2d315,D9661ca9,16713,2094.7
Sff2d315,Df4d06c4,17034,3752.8
Sff2d315,D7cefff4,18647,1310.94
Sff2d315,D7cefff4,19554,1179.17
Sff2d315,D7cefff4,18270,370.94
Sff2d315,D4cf8ef3,10432,82.19
Sff2d315,D7cefff4,18526,746.65
Sff2d315,D9661ca9,15201,2209.21
Sff2d315,Df4d06c4,14643,443.87
Sff2d315,D0f6eec2,11627,104.93
Sff2d315,D4cf8ef3,19402,3063.16
Sff2d315,D4364665,13050,935.78
Sff2d315,D7cefff4,19230,3274.93
Sff2d315,Df4d06c4,18916,11355.51
Sff2d315,D0f6eec2,16140,2243.85
Sff2d315,Df4d06c4,17326,1044.97
Sff2d315,D4364665,14682,171.89
Sff2d315,D4364665,10832,5217.85
Sff2d315,Df4d06c4,18039,3974.22
Sff2d315,D4cf8ef3,13440,105.89
Sff2d315,D4364665,13398,692.77
Sff2d315,D4364665,19305,226.01
Sff2d315,D4364665,17270,4346.99
Sff2d315,D4364665,12973,670.8
Sff2d315,Df4d06c4,19061,1340.23
Sff2d315,D4cf8ef3,11203,312.33
Sff2d315,D4364665,13720,-113.78
Sff2d315,D0f6eec2,18159,708.64
Sff2d315,D4cf8ef3,14346,256.49
Sff2d315,D4364665,19576,229.18
Sff2d315,Df4d06c4,10483,3986.82
Sff2d315,D4cf8ef3,13227,1559.18
Sff2d315,Df4d06c4,19539,3327.74
Sff2d315,D0f6eec2,12192,231.95
Sff2d315,D9661ca9,10173,257.72
Sff2d315,D0f6eec2,19357,3271.81
Sff2d315,Df4d06c4,17083,3421.94
Sff2d315,D4cf8ef3,17689,139.37
Sff2d315,D0f6eec2,12722,369.25
Sff2d315,D4cf8ef3,14604,1137.34
Sff2d315,D4cf8ef3,12423,97.88
Sff2d315,D9661ca9,19135,867.45
Sff2d315,D4cf8ef3,12736,7232.5
Sff2d315,D0f6eec2,15918,302.83
Sff2d315,D7cefff4,17230,2245.12
Sff2d315,D9661ca9,19161,868.63
Sff2d315,D4364665,14466,1905.28
Sff2d315,D0f6eec2,10138,1308.05
Sff2d315,Df4d06c4,12255,3067.58
Sff2d315,Df4d06c4,15480,1243.24
Sff2d315,D9661ca9,10467,579.17
Sff2d315,D4cf8ef3,11011,1958.62
Sff2d315,D0f6eec2,17121,154.51
Sff2d315,D4364665,12254,1859.02
Sff2d315,Df4d06c4,14470,1306.82
Sff2d315,D4364665,19236,32.84
Sff2d315,D4cf8ef3,17067,475.81
Sff2d315,D4364665,10961,785.98
Sff2d315,D4364665,14434,2334.08
Sff2d315,Df4d06c4,12317,866.04
Sff2d315,D7cefff4,15810,3641.09
Sff2d315,D7cefff4,19163,2305.37
Sff2d315,D4cf8ef3,12835,101.12
Sff2d315,D0f6eec2,16841,320.39
Sff2d315,D0f6eec2,19206,173.32
Sff2d315,Df4d06c4,11265,1017.37
Sff2d315,D9661ca9,11733,297.24
Sff2d315,D7cefff4,18364,556.48
Sff2d315,D7cefff4,19495,785.71
Sff2d315,D0f6eec2,15072,136.02
Sff2d315,D0f6eec2,12899,503.38
Sff2d315,D0f6eec2,17129,1696.19
Sff2d315,D9661ca9,14618,370.32
Sff2d315,D0f6eec2,19348,1142.0
Sff2d315,D4cf8ef3,15421,584.13
Sff2d315,D4cf8ef3,17952,3372.8
Sff2d315,D9661ca9,15209,537.38
Sff2d315,D4364665,14890,25.42
Sff2d315,D7cefff4,14815,1041.54
Sff2d315,D4cf8ef3,14666,702.19
Sff2d315,D9661ca9,17843,273.59
Sff2d315,Df4d06c4,14533,1893.83
Sff2d315,D9661ca9,12612,2085.18
Sff2d315,D0f6eec2,16906,490.69
